9/1941          Indian Ocean                        Greenish globe. Non-US military
2/25/1942       Los Angeles, CA                     Multiple UFOs; anti-aircraft fire.
2/26/1942       Timor Sea                           Illuminated disk; terrific speed. Non-US military.
3/1942          Zuider Zee, Holland                 Luminous object closely following plane; fired rounds, Non-US military
8/12/1942       Pacific Ocean                       Large formation; no wings; not Japanese planes.
8/29/1942       Columbus, MS                        Two round reddish objects; extreme maneuverability.
3/1944          Carlsbad, NM                        Fast, glowing green object; lit cockpit.
8/1944          Sumatra                             Pulsing spherical object paces bomber; maneuvers.
11/1944         Austria                             Amber-colored disc paces bomber.
1/1945          Germany                             Three red-white lighted objects pace fighter.
1/1945          France                              Pilot paced by object that zooms into sky.
3/1945          Aleutian Islands                    Object rises from ocean, circles ship, departs.
8/28/1945       Iwo Jima                            Three bright objects pace transport; EM effects.
1/16/1947       North Sea                           Long chase of UFO with evasive maneuvers.
2/28/1947       Lake Meade, NV                      Formation of discs.
6/1947          Oak Ridge Nuc. Fac., TN             Air Space Violation; photographed, photos confiscated.
6/28/1947       Lake Meade, NV                      F-51 pilot sees formation of five or six circular objects.
6/28/1947       Maxwell AFB, AL                     Four Air Force officers see fast, bright, zigzagging light in the sky.
6/29/1947       White Sands, NM                     Silvery craft seen by three scientists.
6/30/1947       Grand Canyon, AZ                    Navy pilot sees two fast gray objects, possible landing.
7/4/1947        Seattle, WA                         Coast Guard personnel photograph UFO.
7/4/1947        Roswell, NM                         Possible UFO crash retrieval.
7/8/1947        Muroc Air Field                     Four separate sightings of metallic, disc-shaped craft.
Summer 1947     Pittsburg, KS                       Navy command reports disc-shaped objects.
8/1947          Media, PA                           Air Force pilot sees disc hover and speed away
8/4/1947        Bethel, AK                          Large, smooth object seen by pilot and copilot, reported to ADC.
8/14/1947       Guam U.S.                           Personnel see small, fast zig-zagging crescent-shaped object.
Late 8/1947     Rapid City AFB, SD                  AF major sees twelve glowing, elliptical silent objects.
10/20/1947      Wright-Patterson AFB, OH            Two cigar-shaped craft seen near the base.
1/8/1948        Near Godman AFB, KY                 AF captain dies chasing UFO; possible a balloon.
4/5/1948        White Sands, NM                     Navy personnel track disc with extreme maneuvers.
5/1948          -                                   AF C-47 transport plane buzzed by three objects.
Summer 1948     Goose Bay, Labrador                 Multiple radar tracking of target; extreme speed, etc.
10/1/1948       Fargo, ND                           F-51 pilot engages in a "dogfight" with small, flat circular UFO.
10/15/1948      Cache, Japan                        Radar/visual, F-61 aircraft encounters multiple UFO's
11/1/1948       Goose Bay, Labrador                 Army radar tracking of high speed object
11/6/1948       Japan                               Radar tracking of UFO's in "dogfight"
11/18/1948      Near Andrews AFB, MD                Dogfight with AF pilot, extreme maneuverability
11/23/1948      Fursten-Felbruck AFB, Ger.          Radar/visual, attempted intercept; evasive action
12/5/1948       Near Albuquerque, NM                C-47 pilot sees huge green fireball appear to maneuver
12/12/1948      Near Los Alamos, NM                 Silent green fireball seen by Dr. La Paz; not meteor
1/30/1949       Near Kirtland AFB, NM               Green fireball; hundreds of witnesses
4/6/1949        Near White Sands, NM                Several apparent sightings
4/24/1949       Near White Sands, NM                Metallic, elliptic object, extreme speed, tracked, etc.
5/22/1949       Hanford Nuc. Fac., WA               Radar/visual, F-82 scrambled; evasive action
6/1949          Oak Ridge Nuc. Fac., TN             Air space violation
6/10/1949       White Sands, NM                     Two round white UFOs maneuver around a missile
7/3/1949        Longview, WA                        Navy commander, others, see disc pass above air show
9/1949          "Key atomic base", NM?              Approx. date. Radar of five objects at tremendous speed and altitude
11/11/1949      Straights of Hormuz                 USN commander, others, see "light wheel" in water.
1/22/1950       Kodiak, AK                          Multiple radar/visual by Navy personnel; near collision; electromagnetic effects
2/1/1950        Tucson, AZ                          B-29 pilot follows fireball near Monthan AFB.
2/22/1950       Boca Chica Naval AS, FL             Radar/visuals of two glowing objects; failed intercept.
3/8/1950        Dayton, OH                          Radar/visuals of bright metallic disc; failed intercept.
3/9/1950        Selfridge AFB, MI                   Multiple radar, no visuals of object at extreme speed.
3/16/1950       Naval AS, Dallas TX                 Disc approaches B-36 from below; hovers, speeds away.
4/27/1950       White Sands, NM                     Inconclusive photograph of object streaking across sky.
5/29/1950       White Sands, NM                     Object tracked by two theodolite stations; movie footage.
6/24/1950       Near Los Angles, CA                 Navy transport plane sees UFO pace airliner.
7/11/1950       Osceola, AR                         Radar/visual of domed disc passing in front of Navy personnel.
7/30/1950       Hanford Nuc. Fac., WA               Approx. date. Objects seen over facility.
9/21/1950       Near Otis AFB, MA                   Object tracked on radar, overtakes two F-86s; no visuals.
10/12/1950      Oak Ridge Nuc. Fac., TN             Wave of at least sixteen sightings in three weeks begins now.
11/7/1950       -                                   Dogfight with light that circles aircraft several times.
12/1950         Near Inchon, Korea                  Navy crews see two fast, smoke trailing objects hit water.
12/1950         Cheyenne, WY                        AF officer reports metallic UFO.
12/6/1950       Laredo, TX                          Possible UFO crash retrieval.
1951            Germany                             UFOs outmaneuver pilot/future astronaut Gordon Cooper.
1/1951          Korea                               Twenty-four UFO cases reported by military in the next fifteen months.
1/16/1951       Artesia, NM                         Gen. Mills-Navy personnel see two disc-shaped objects.
2/10/1951       Near Iceland                        Near collision between Navy plane and large UFO.
2/14/1951       Alamogordo, NM                      AF pilots spot flat, round, white object hovering.
6/1/1951        Wright-Patterson AFB                Wright-Patterson AFB, OH Base official sees disc-shaped object moving sharply.
7/9/1951        Dearing, GA                         F-51 pilot sees fast, disc-shaped object approach.
7/14/1951       Near White Sands, NM                Radar/visual of fast-moving UFO captured; probable movie footage, lost.
8/1951          Sandia AFB, NM                      And 9-51. Several air space violations by "large wing" craft.
8/26/1951       Washington State                    AF radar tracks object at 900 mph on two sets.
9/10/1951       Fort Monmouth, NJ                   Radar/visual of metallic, disc-shaped object at 900 mph.
9/23/1951       March AFB, CA                       Four F-86s attempt intercept of metallic, high-altitude UFO.
10/1951         Korea                               Fourteen ships track object circling fleet at extreme speed
10/10/1951      Near Minneapolis, MN                Gen. Mills-Navy personnel track fast UFOs or two days.
1/1/1952        North Bay, Canada                   Large object circles, maneuvers over RCAF base. Non-US military.
1/20/1952       Fairchild AFB, WA                   Large spherical object approaches at tremendous speed.
1/21/1952       Mitchell AFB, NY                    Navy pilot chases dome-shaped, red object, outdistanced.
1/22/1952       North Alaska                        Multiple radar UFO; three F-94s intercept; near collision.
1/29/1952       Korea                               Two B-29s paced by "huge ball of fire."
3/29/1952       Misawa, Japan                       Small disc maneuvers between two F-86s and a T-6.
4/1952          Near Hawaii                         UFOs circle planes carrying Navy Secretary & Adm. Radford.
4/17/1952       Nellis AFB, NV                      Base personnel see large group of circular objects.
5/1/1952        Davis-Monthan AFB, AZ               B-36 crew and others see two rounded objects overtaking aircraft.
5/1/1952        George AFB, CA                      Five witnesses observe five daylight discs; extreme maneuverability.
5/1952          Near Alexandria, VA                 UFO sighting by "one of the top people" in CIA.
5/31/1952       Chorwon, Korea                      Object descends, climbs, changes course; failed intercept.
6/18/1952       California                          Object paces B-25 for thirty minutes.
6/19/1952       Goose Bay, Labrador                 Radar/visual of red-lighted object approach, climb, disappear.
6/21/1952       Oak Ridge Nuc. Fac., TN             Radar/visual, air space violations, intercept, and near collision.
6/22/1952       Korea                               Small object flies low over airstrip; extreme maneuverability.
7/1/1952        Fort Monmouth, NJ                   Radar/visual of two objects hovering and speeding away.
7/2/1952        Tremonton, UT                       Navy aviator captures UFOs on 16mm film.
7/5/1952        Hanford Nuc. Fac. WA                Air space violation; round flat object hovering over WA facility.
7/12/1952       Montrose Beach, CA                  AF Officers, others, see large red object reverse course.
7/12/1952       Hanford Nuc. Fac. WA                Air space violation; two yellow globes over facility.
7/16/1952       Salem, MA                           U.S. Coast Guard seaman photographs four brilliant lights.
7/18/1952       Patrick AFB, FL                     Four lights near airfield; exceptional maneuverability.
7/19/1952       Washington, DC                      Radar-visuals of UFOs over Capitol; attempted intercepts.
7/20/1952       Washington, DC                      Air Force tracks object at 900 mph; extreme maneuverability.
7/20/1952       Alexandria, VA                      Army officer sees red cigar-shaped object hover, depart.
7/23/1952       Near Boston, MA                     Bluish-green object eludes pursuing F-94.
7/24/1952       Sierra Nevada                       Two AF colonels in B-25 see three metallic crafts at 1,000 mph.
7/26/1952       California                          Jet chase of unidentified light.
7/26/1952       Naval AS, Key West, FL              Hundreds observe UFO with red light; ship follows it to sea.
7/26/1952       Washington, DC                      Radar/visuals of dozens of UFOs over the Capitol; F-94s scrambled.
7/29/1952       Los Alamos, NM                      Air space violation; metallic object makes 360° turn; evades interceptors.
7/29/1952       Albuquerque, NM                     Air Force officer sees rapid, elliptical light.
7/29/1952       Walker AFB, NM                      Weather officer and others see fast UFOs through theodolite.
7/29/1952       Michigan                            F-94s attempt intercept of fast-moving UFO; radar/visuals.
8/1/1952        Yaak, MT                            Radar/visuals at Air Defense Command radar station.
8/1/1952        Bellefontaine, OH                   Radar/visuals; two F-86s scrambled; one maneuvered; movie film.
8/3/1952        Near Hamilton AFB, CA               Radar/visuals of two huge discs; F-86s scrambled; zoom away.
8/5/1952        Haneda AFB, Japan                   Radar/visual; hovers over base, extreme speed; divides into three units.
8/20/1952       Congeree AFB, SC                    Air Defense Command radar tracks UFO at 4,000 mph.
